Conf.,Award,Time,Topic,Room,Name,Type
,,Sunday 09 November 2014,,,,
,,Full Day,,,,
VAST,,8:30 – 19:00,VAST Challenge,Scene C,"Kristin, Georges Grinstein, Mark Whiting",Workshops
,,Half Day,,,,
VIS,,8:30 – 19:00,Visualizing Electronic Health Record Data,Scene B,"Catherine Plaisant, Silvia Miksch, Theresia Gschwandtner, Sana Malik",Workshops
VIS,,8:30 – 19:00,DECISIVe: Dealing with Cognitive Biases in Visualizations,Auditorium,"Geoffrey Ellis, David Peebles, Donald Kretz, Gaëlle Lortal",Workshops
VIS,,8:30 – 19:00,Towards an Open Visualization Literacy Testing Platform,Forum ABC,"Sung-Hee Kim, Jeremy Boy, Sukwon Lee, Ji Soo Yi, Niklas Elmqvist",Workshops
VIS,,8:30 – 19:00,3DVis: Does 3D really  make sense for Data Visualization?,Scene DEF,"Thierry Duval, Pascale Kuntz, Jérôme Royan, Wolfgang Stuerzlinger, Gilles Venturini",Workshops
VIS,,8:30 – 19:00,Visualization Analysis and Design,Forum GHIJ,Tamara Munzner ,Tutorials
VIS,,14:00 – 17:55,Death of the Desktop – Envisioning Visualization without Desktop Computing,Scene B,"Yvonne Jansen, Petra Isenberg, Jason Dykes, Sheelagh Carpendale, Sriram Subramanian, Daniel F. Keefe",Workshops
VIS,,14:00 – 17:55,Visualization for Predictive Analytics,Auditorium,"Enrico Bertini, Adam Perer, Ross Maciejewski, Jimeng Sun",Workshops
VIS,,14:00 – 17:55,Opening the Black Box of Interaction in Visualization,Forum ABC,"Hans-Jörg Schulz, Tatiana von Landesberger, Dominikus Baur",Tutorials
VIS,,14:00 – 17:55,Visualization and Analysis with Python,Scene DEF,"Jonathan Woodring, Julien Jomier, Joseph Cottam, Peter Wang",Tutorials
VIS,,14:00 – 17:55,"""Where Do I Start"" Practical Methods for the Design Studies in Information Visualization and Visual Analysis",Forum GHIJ,"Laura McNamara, Kerstan Cole, Susan Stevens-Adams",Tutorials
,,,,,,
LDAV,,14:00 – 15:40,LDAV Opening Remarks & Day 1 Fast Forward,Scene A,Anders Ynnerman,Keynote
,,,,,,
LDAV,,16:15 – 17:45,Exploiting Modern Architectures for Visualization,Scene A,,Papers Session
LDAV,,16:15 – 17:45,Visualizing Large 3D Geodesic Grid Data with Massively Distributed GPUs,,"Jinrong Xie, Hongfeng Yu, Kwan-Liu Ma",Papers
LDAV,,16:15 – 17:45,Multi-Threaded Streamline Tracing for Data-Intensive Architectures,,"Ming Jiang, Brian Van Essen, Cyrus Harrison, Maya Gokhale",Papers
LDAV,,16:15 – 17:45,Cache-Aware Sampling Strategies for Texture-Based Ray Casting on GPU,,"Junpeng Wang, Fei Yang, Yong Cao",Papers
,,,,,,
LDAV,,17:45 – 17:55,LDAV Posters Fast Forward,Scene A,,
,,,,,,
,,Monday 10 November 2014,,,,
,,Half Day,,,,
VIS,,8:30 – 12:10,Provenance for Sensemaking,Scene B,"Kai Xu, Simon Attfield, TJ Jankun-Kelly",Workshops
VIS,,8:30 – 12:10,Applying Color Theory to Visualization,Forum ABC,Theresa-Marie Rhyne ,Tutorials
VIS,,8:30 – 12:10,Glyph-based Visualization,Scene DEF,"Rita Borgo, Min Chen, Eamon Maguire, Sine McDougall, Matthew Ward",Tutorials
VIS,,8:30 – 12:10,Best Practice of Visual Design. A Hands-on Tutorials for Data Explorers and Visual Makers,Forum GHIJ,"Ana Florescu, James Godwin",Tutorials
